lat,long,time
43.655,-79.402,540
43.655,-79.401,660
43.655,-79.400,600
43.655,-79.399,600
43.655,-79.398,480
43.655,-79.397,540
43.655,-79.396,540
43.655,-79.395,540
43.655,-79.394,480
43.655,-79.393,480
43.655,-79.392,480
43.655,-79.391,480
43.655,-79.390,480
43.655,-79.389,480
43.655,-79.388,300
43.655,-79.387,360
43.655,-79.386,360
43.655,-79.385,360
43.655,-79.384,480
43.655,-79.383,360
43.655,-79.382,360
43.655,-79.381,300
43.655,-79.380,360
43.656,-79.402,660
43.656,-79.401,600
43.656,-79.400,600
43.656,-79.399,540
43.656,-79.398,600
43.656,-79.397,540
43.656,-79.396,540
43.656,-79.395,540
43.656,-79.394,480
43.656,-79.393,480
43.656,-79.392,480
43.656,-79.391,480
43.656,-79.390,540
43.656,-79.389,420
43.656,-79.388,360
43.656,-79.387,420
43.656,-79.386,360
43.656,-79.385,420
43.656,-79.384,300
43.656,-79.383,360
43.656,-79.382,360
43.656,-79.381,300
43.656,-79.380,300
43.657,-79.402,600
43.657,-79.401,600
43.657,-79.400,540
43.657,-79.399,540
43.657,-79.398,600
43.657,-79.397,540
43.657,-79.396,540
43.657,-79.395,480
43.657,-79.394,540
43.657,-79.393,540
43.657,-79.392,540
43.657,-79.391,480
43.657,-79.390,480
43.657,-79.389,360
43.657,-79.388,420
43.657,-79.387,420
43.657,-79.386,420
43.657,-79.385,420
43.657,-79.384,360
43.657,-79.383,420
43.657,-79.382,360
43.657,-79.381,300
43.657,-79.380,300
43.658,-79.402,540
43.658,-79.401,600
43.658,-79.400,540
43.658,-79.399,540
43.658,-79.398,540
43.658,-79.397,540
43.658,-79.396,540
43.658,-79.395,540
43.658,-79.394,540
43.658,-79.393,480
43.658,-79.392,540
43.658,-79.391,540
43.658,-79.390,480
43.658,-79.389,420
43.658,-79.388,480
43.658,-79.387,480
43.658,-79.386,480
43.658,-79.385,420
43.658,-79.384,420
43.658,-79.383,420
43.658,-79.382,360
43.658,-79.381,420
43.658,-79.380,420
